i,refi,refq
433,-0.994061,-0.108826
434,0.155833,-0.987783
435,0.979284,0.202490
436,-0.248691,0.968583
437,-0.955703,-0.294333
438,0.339313,-0.940674
439,0.923529,0.383529
440,-0.426884,0.904307
441,-0.883051,-0.469278
442,0.510616,-0.859809
443,0.834633,0.550806
444,-0.589758,0.807580
445,-0.778711,-0.627383
446,0.663597,-0.748091
447,0.715788,0.698318
448,-0.731469,0.681875
449,-0.646428,-0.762975
450,0.792765,-0.609528
451,0.571257,0.820772
452,-0.846932,0.531701
453,-0.490949,-0.871188
454,0.893485,-0.449093
455,0.406227,0.913772
456,-0.932004,0.362447
457,-0.317852,-0.948140
458,0.962144,-0.272543
459,0.226620,0.973983
460,-0.983632,0.180188
461,-0.133350,-0.991069
462,0.996277,-0.086212
463,0.038881,0.999244
464,-0.999964,-0.008538
465,0.055937,-0.998434
466,0.994659,0.103211
467,-0.150253,0.988648
468,-0.980412,-0.196957
469,0.243218,-0.969972
470,0.957350,0.288931
471,-0.333995,0.942575
472,-0.925680,-0.378308
473,0.421770,-0.906703
474,0.885687,0.464284
475,-0.505753,0.862678
476,-0.837730,-0.546085
477,0.585188,-0.810898
478,0.782241,0.622975
479,-0.659362,0.751826
480,-0.719719,-0.694265
481,0.727607,-0.685994
482,0.650726,0.759312
483,-0.789310,0.613995
484,-0.575882,-0.817533
485,0.843916,-0.536475
486,0.495860,0.868402
487,-0.890935,0.454131
488,-0.411380,-0.911464
489,0.929943,-0.367704
490,0.323201,0.946330
491,-0.960589,0.277971
492,-0.232116,-0.972688
493,0.982599,-0.185739
494,0.138944,0.990300
495,-0.995774,0.091837
496,-0.044523,-0.999008
497,0.999996,0.002891
498,-0.050299,0.998734
499,-0.995226,-0.097593
500,0.144668,-0.989480
501,0.981509,0.191417
502,-0.237737,0.971330
503,-0.958966,-0.283521
504,0.328668,-0.944446
505,0.927801,0.373075
506,-0.416644,0.909070
507,-0.888294,-0.459275
508,0.500873,-0.865521
509,0.840800,0.541345
510,-0.580600,0.814189
511,-0.785747,-0.618548
512,0.655106,-0.755537
513,0.740343,0.672229
514,-0.689000,0.724762
515,-0.708800,-0.705409
516,0.721449,-0.692467
517,0.675771,0.737111
518,-0.752387,0.658721
519,-0.641326,-0.767268
520,0.781748,-0.623595
521,0.605537,0.795817
522,-0.809470,0.587161
523,-0.568478,-0.822698
524,0.835496,-0.549497
525,0.530228,0.847855
526,-0.859770,0.510681
527,-0.490867,-0.871235
528,0.882243,-0.470795
529,0.450476,0.892788
530,-0.902866,0.429922
531,-0.409142,-0.912471
532,0.921597,-0.388148
533,0.366950,0.930241
534,-0.938397,0.345560
535,-0.323989,-0.946061
536,0.953229,-0.302248
537,0.280349,0.959898
538,-0.966064,0.258303
539,-0.236121,-0.971724
540,0.976874,-0.213816
541,0.191399,0.981512
542,-0.985636,0.168881
543,-0.146275,-0.989244
544,0.992333,-0.123592
545,0.100845,0.994902
546,-0.996950,0.078045
547,-0.055203,-0.998475
548,0.999477,-0.032333
549,0.009446,0.999955
550,-0.999910,-0.013446
551,0.036331,-0.999340
552,0.998246,0.059197
553,-0.082032,0.996630
554,-0.994491,-0.104824
555,0.127561,-0.991831
556,0.988651,0.150231
557,-0.172823,0.984953
558,-0.980739,-0.195324
559,0.217722,-0.976011
560,0.970771,0.240007
561,-0.262166,0.965023
562,-0.958769,-0.284187
563,0.306059,-0.952012
564,0.944757,0.327771
565,-0.349311,0.937007
566,-0.928765,-0.370669
567,0.391831,-0.920037
568,0.910827,0.412789
569,-0.433530,0.901139
570,-0.890979,-0.454044
571,0.474320,-0.880352
572,0.869264,0.494348
573,-0.514116,0.857720
574,-0.845727,-0.533615
575,0.552835,-0.833291
576,0.820418,0.571765
577,-0.590395,0.807115
578,-0.793389,-0.608715
579,0.626717,-0.779247
580,0.764697,0.644390
581,-0.661726,0.749746
582,-0.734402,-0.678715
583,0.695348,-0.718674
584,0.702568,0.711616
585,-0.727512,0.686095
586,-0.669262,-0.743027
587,0.758152,-0.652078
588,0.634553,0.772880
589,-0.787202,0.616695
590,-0.598513,-0.801113
591,0.814603,-0.580019
592,0.561220,0.827667
593,-0.840297,0.542127
594,-0.522750,-0.852486
595,0.864229,-0.503099
596,0.483185,0.875519
597,-0.886349,0.463017
598,-0.442606,-0.896716
599,0.906613,-0.421964
600,0.401101,0.916034
601,-0.924975,0.380027
602,-0.358754,-0.933432
603,0.941400,-0.337293
604,0.315655,0.948874
605,-0.955851,0.293852
606,-0.271895,-0.962327
607,0.968298,-0.249796
608,0.227565,0.973763
609,-0.978717,0.205216
610,-0.182759,-0.983158
611,0.987084,-0.160206
612,0.137569,0.990492
613,-0.993382,0.114860
614,-0.092090,-0.995751
615,0.997598,-0.069273
616,0.046419,0.998922
617,-0.999723,0.023541
618,-0.000650,-1.000000
619,0.999753,0.022240
620,-0.045120,0.998982
621,-0.997687,-0.067975
622,0.090795,-0.995870
623,0.993530,0.113567
624,-0.136280,0.990670
625,-0.987291,-0.158921
626,0.181479,-0.983395
627,0.978983,0.203942
628,-0.226299,0.974058
629,-0.968623,-0.248536
630,0.270643,-0.962680
631,0.956232,0.292609
632,-0.314421,0.949284
633,-0.941838,-0.336068
634,0.357539,-0.933898
635,0.925469,0.378823
636,-0.399853,0.916579
637,-0.907212,-0.420674
638,0.441275,-0.897372
639,0.887064,0.461647
640,-0.481778,0.876293
641,-0.865066,-0.501658
642,0.521276,-0.853388
643,0.841265,0.540623
644,-0.559688,0.828704
645,-0.815710,-0.578461
646,0.596932,-0.802292
647,0.788455,0.615093
648,-0.632933,0.774207
649,-0.759556,-0.650442
650,0.667613,-0.744508
651,0.729073,0.684436
652,-0.700902,0.713257
653,-0.697070,-0.717003
654,0.732730,-0.680520
655,0.663614,0.748075
656,-0.763030,0.646363
657,-0.628775,-0.777587
658,0.791739,-0.610859
659,0.592625,0.805479
660,-0.818798,0.574081
661,-0.555239,-0.831691
662,0.844150,-0.536107
663,0.516696,0.856169
664,-0.867742,0.497015
665,-0.477075,-0.878862
666,0.889525,-0.456887
667,0.436460,0.899724
668,-0.909453,0.415806
669,-0.394935,-0.918709
670,0.927486,-0.373859
671,0.352587,0.935779
672,-0.943585,0.331132
673,-0.309504,-0.950898
674,0.957716,-0.287714
675,0.265775,0.964035
676,-0.969851,0.243697
677,-0.221492,-0.975162
678,0.979965,-0.199172
679,0.176748,0.984256
680,-0.988035,0.154232
681,-0.131635,-0.991298
682,0.994045,-0.108970
683,0.086248,0.996274
684,-0.997983,0.063481
685,-0.040681,-0.999172
686,0.999840,-0.017859
687,-0.004971,0.999988
688,-0.999614,-0.027799
689,0.050613,-0.998718
690,0.997303,0.073400
691,-0.096149,0.995367
692,-0.992912,-0.118848
693,0.141485,-0.989940
694,0.986452,0.164048
695,-0.186525,0.982450
696,-0.977936,-0.208906
697,0.231177,-0.972912
698,0.967380,0.253328
699,-0.275347,0.961345
700,-0.954808,-0.297222
701,0.318943,-0.947774
702,0.940246,0.340497
703,-0.361874,0.932227
704,-0.923723,-0.383062
705,0.404050,-0.914737
706,0.905274,0.424828
707,-0.445384,0.895339
708,-0.884938,-0.465709
709,0.485790,-0.874076
710,0.862757,0.505618
711,-0.525183,0.850989
712,-0.838778,-0.544474
713,0.563481,-0.826129
714,0.813050,0.582194
715,-0.600604,0.799547
716,-0.785627,-0.618701
717,0.636475,-0.771297
718,0.756566,0.653918
719,-0.671019,0.741440
720,-0.725927,-0.687771
721,0.704165,-0.710037
722,0.693776,0.720191
723,-0.735842,0.677153
724,-0.660178,-0.751109
725,0.765985,-0.642858
726,0.625204,0.780462
727,-0.794531,0.607223
728,-0.588926,-0.808187
729,0.821421,-0.570322
730,0.551420,0.834228
731,-0.846599,0.532232
732,-0.512765,-0.858529
733,0.870011,-0.493032
734,0.473041,0.881040
735,-0.891610,0.452804
736,-0.432331,-0.901715
737,0.911350,-0.411633
738,0.390720,0.920510
739,-0.929190,0.369603
740,-0.348293,-0.937386
741,0.945093,-0.326802
742,0.305141,0.952307
743,-0.959025,0.283321
744,-0.261353,-0.965243
745,0.970958,-0.239249
746,0.217020,0.976167
747,-0.980867,0.194678
748,-0.172234,-0.985056
749,0.988731,-0.149701
750,0.127089,0.991891
751,-0.994534,0.104412
752,-0.081680,-0.996659
753,0.998264,-0.058905
754,0.036100,0.999348
755,-0.999912,0.013275
756,0.009556,-0.999954
757,0.999476,0.032382
758,-0.055191,0.998476
759,-0.996956,-0.077971
760,0.100711,-0.994916
761,0.992357,0.123398
762,-0.146021,0.989281
763,-0.985690,-0.168568
764,0.191027,-0.981585
765,0.976968,0.213387
766,-0.235635,0.971842
767,-0.966209,-0.257760
768,0.279751,-0.960073
769,0.967082,0.254465
770,-0.229003,0.973426
771,-0.979099,-0.203384
772,0.177625,-0.984098
773,0.988420,0.151743
774,-0.125757,0.992061
775,-0.995019,-0.099684
776,0.073543,-0.997292
777,0.998878,0.047351
778,-0.021127,0.999777
779,-0.999987,0.005112
780,-0.031348,-0.999509
781,0.998342,-0.057562
782,0.083736,0.996488
783,-0.993948,0.109853
784,-0.135894,-0.990723
785,0.986817,-0.161841
786,0.187677,0.982231
787,-0.976968,0.213384
788,-0.238944,-0.971033
789,0.964430,-0.264339
790,0.289553,0.957162
791,-0.949235,0.314567
792,-0.339364,-0.940655
793,0.931427,-0.363928
794,0.388241,0.921558
795,-0.911054,0.412287
796,-0.436049,-0.899923
797,0.888172,-0.459511
798,0.482656,0.875810
799,-0.862845,0.505469
800,-0.527934,-0.849285
